"","State","year","Heroin","Methadone","Natural","Synthetic","st","region"
"1","Arizona",2010,90,106,327,68,"AZ","West"
"2","Arizona",2011,117,55,313,40,"AZ","West"
"3","Arizona",2012,101,50,326,36,"AZ","West"
"4","Arizona",2013,146,64,253,52,"AZ","West"
"5","Arizona",2014,197,62,290,57,"AZ","West"
"6","Arizona",2015,247,75,298,72,"AZ","West"
"7","Arizona",2016,299,75,326,123,"AZ","West"
"8","Arizona",2017,334,83,349,267,"AZ","West"
"9","California",2010,326,456,1063,205,"CA","West"
"10","California",2011,364,406,1167,164,"CA","West"
"11","California",2012,362,342,965,146,"CA","West"
"12","California",2013,486,343,1039,176,"CA","West"
"13","California",2014,561,337,1047,194,"CA","West"
"14","California",2015,593,291,1019,229,"CA","West"
"15","California",2016,587,281,955,355,"CA","West"
"16","California",2017,715,253,973,536,"CA","West"
"17","Colorado",2010,46,48,135,58,"CO","West"
"18","Colorado",2011,79,61,198,78,"CO","West"
"19","Colorado",2012,91,43,223,52,"CO","West"
"20","Colorado",2013,120,41,221,67,"CO","West"
"21","Colorado",2014,156,51,259,80,"CO","West"
"22","Colorado",2015,159,34,259,64,"CO","West"
"23","Colorado",2016,234,58,212,72,"CO","West"
"24","Colorado",2017,224,58,254,112,"CO","West"
"25","Connecticut",2010,77,43,41,22,"CT","Northeast"
"26","Connecticut",2011,85,32,44,13,"CT","Northeast"
"27","Connecticut",2012,98,24,38,15,"CT","Northeast"
"28","Connecticut",2013,227,49,144,53,"CT","Northeast"
"29","Connecticut",2014,299,50,157,94,"CT","Northeast"
"30","Connecticut",2015,390,72,183,211,"CT","Northeast"
"31","Connecticut",2016,450,72,206,500,"CT","Northeast"
"32","Connecticut",2017,425,95,188,686,"CT","Northeast"
"33","Delaware",2010,16,20,47,14,"DE","South"
"34","Delaware",2011,15,23,64,13,"DE","South"
"35","Delaware",2012,20,11,37,17,"DE","South"
"36","Delaware",2013,39,21,35,22,"DE","South"
"37","Delaware",2014,54,24,38,29,"DE","South"
"38","Delaware",2015,64,14,36,38,"DE","South"
"39","Delaware",2016,56,11,31,79,"DE","South"
"40","Delaware",2017,121,15,64,178,"DE","South"
"41","Florida",2010,51,439,1169,146,"FL","South"
"42","Florida",2011,62,458,1062,138,"FL","South"
"43","Florida",2012,101,337,850,162,"FL","South"
"44","Florida",2013,181,271,751,200,"FL","South"
"45","Florida",2014,344,227,697,343,"FL","South"
